product name,product price,product link
MSI Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 Ti GAMING TRIO 12G,2677,https://www.newegg.ca/msi-geforce-rtx-3080-ti-gaming-trio-12g/p/N82E16814137658?Description=3080&cm_re=3080-_-9SIAJECJ3G9820-_-Product
,,
GEFORCE RTX 3080 ICHILL X4 LHR 8G GDDR6X PCI Express 4.0 x16 Graphics Card,3069,https://www.newegg.ca/p/1FT-0040-000M8?Description=3080&cm_re=3080-_-9SIADDZFD51037-_-Product
,,
"Colorful iGame GeForce RTX 3080 Ti NB 12GB GDDR6 384bit 19Gbps PCIE 4.0 Gaming Graphics Card, RGB Light ,Intelligent Start-stop Fans - LHR Triple Fans Black",1961,https://www.newegg.ca/colorful-geforce-rtx-3080-ti-rtx-3080-ti-nb/p/1FT-005B-000H8?Description=3080&cm_re=3080-_-9SIAZYPHEV5214-_-Product
,,
"EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING Video Card, 12G-P5-3967-KR, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",3899,https://www.newegg.ca/evga-geforce-rtx-3080-ti-ftw3-ultra/p/1FT-0009-00712?Description=3080&cm_re=3080-_-9SIAU36GPP2726-_-Product
,,
MSI Suprim GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 Ti SUPRIM X 12G,1970,https://www.newegg.ca/p/1FT-0009-00978?Description=3080&cm_re=3080-_-9SIAZYPHEU6925-_-Product
,,
"Colorful iGame GeForce RTX 3080 Ti Vulcan OC 12GB GDDR6 384bit 19Gbps PCIE 4.0 Gaming Graphics Card, RGB Light ,Intelligent Start-stop Fans - LHR Liquid Cooler Black",2160,https://www.newegg.ca/p/1FT-005B-000H9?Description=3080&cm_re=3080-_-9SIAZYPHEV2061-_-Product
,,
"GEFORCE RTX 3080 XingjiHongjue Graphics Card, 10GB 320-bit GDDR6X, PCI Express 4.0 x16",2919,https://www.newegg.ca/p/1FT-0040-000R0?Description=3080&cm_re=3080-_-9SIADDZFD50915-_-Product
,,
GEFORCE RTX 3080 Ti Chasing The Wind 12G Graphics Card (LHR version),3699,https://www.newegg.ca/p/1FT-0040-000K7?Description=3080&cm_re=3080-_-9SIADDZFD51035-_-Product
,,
MSI Gaming GeForce RTX 3080 10GB Video Card RTX 3080 GAMING TRIO PLUS 10G LHR,1989,https://www.newegg.ca/msi-3080-gaming-trio-plus/p/1FT-0009-008U6?Description=3080&cm_re=3080-_-9SIAVH1HG51638-_-Product
,,
"GIGABYTE AORUS GeForce RTX 3080 XTREME 10G (LHR) Graphics Card, 10GB 320-Bit GDDR6X, PCI Express 4.0, 3×HDMI Interface, 3×DisplayPort Interface",2999,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorus-x-10gd/p/1FT-000A-003G8?Description=3080&cm_re=3080-_-9SIADDZGPR3222-_-Product
,,
"INNO3D Geforce RTX 3080 TI GAMING X3(LHR)Graphics Card, 12GB 384-bit GDDR6X, PCI Express 4.0, 1×HDMI 2.1 Interface, 3×DisplayPort 1.4a Interface",2498,https://www.newegg.ca/inno3d-geforce-rtx-3080-ti-rtx-3080-ti-gaming-x3/p/1FT-000N-001F9?Description=3080&cm_re=3080-_-1FT-000N-001F9-_-Product
,,
"GEFORCE RTX 3080 ICHILL FROSTBITE 10G GDDR6X PCI Express 4.0 x16 Graphics Card, Split Water Cooling, RGB Lighting Effect, Metal Backplane",3699,https://www.newegg.ca/p/1FT-0040-000N0?Description=3080&cm_re=3080-_-9SIADDZFD51014-_-Product
,,
GEFORCE RTX 3080 TI ICHILL X4 12G GDDR6X PCI Express 4.0 x16 Graphics Card,4049,https://www.newegg.ca/p/1FT-0040-000M9?Description=3080&cm_re=3080-_-9SIADDZFD51025-_-Product
,,
GEFORCE RTX3080 Ti Glare OC 12G GDDR6X Graphics Card,4049,https://www.newegg.ca/p/1FT-0040-000M5?Description=3080&cm_re=3080-_-9SIADDZFD51059-_-Product
,,
